_id,is_publishing,is_subscribe,is_broadcast,resource_type,device_id,user_agent,ip_address,created_at,updated_at,__v,vehicle_latitude,vehicle_longitude,email,first_name,last_name,profile_picture,vehicle_model,vehicle_picture,miles
ObjectId("5b29d6cc1f823e1326600293"),true,false,false,ios,FE5C554F-B1FB-4FE3-B33F-52863DFD58CF,VizonMaps/1 CFNetwork/901.1 Darwin/17.6.0,183.182.87.238,""2018-06-20T04:23:40.759Z"",""2018-06-20T04:23:40.759Z"",0,22.749455,75.895839,ac@a.com,Rishikant ,Mishra ,8fa0f42870a7bb043c8e934f3d00bb50,iphone6 was ,78319da5a25ad0d502085143e52f5ff1,10.4
ObjectId("5b2a1be92898b819a5762c4a"),true,false,false,ios,1F728F21-2F93-46C1-BE6E-425EB27BADB5,VizonMaps/1 CFNetwork/894 Darwin/17.4.0,103.93.136.5,""2018-06-20T09:18:33.080Z"",""2018-06-20T09:18:33.080Z"",0,22.749609,75.896068,,,,,,,
ObjectId("5b2a447ec9cc5d1d1e2201fc"),true,true,true,ios,CD16C84A-2D06-4049-B43A-313F711F5F93,VizonMaps/1 CFNetwork/889.9 Darwin/17.2.0,183.182.87.238,""2018-06-20T12:11:42.602Z"",""2018-06-20T12:11:42.602Z"",0,22.749585,75.895871,,,,,,,
ObjectId("5b2b238bc9cc5d1d1e2201fd"),true,true,true,ios,78CB1295-B185-469B-8F32-D7AF9B6C3E58,VizonMaps/1 CFNetwork/893.14 Darwin/17.0.0,183.182.87.238,""2018-06-21T04:03:23.604Z"",""2018-06-21T04:03:23.604Z"",0,51.50998,-0.1337,,,,,,,
ObjectId("5b2b2710c9cc5d1d1e2201fe"),true,true,true,ios,A992BF0D-CDBD-4577-8644-D845742DD1C8,VizonMaps/1 CFNetwork/893.14 Darwin/17.0.0,183.182.87.238,""2018-06-21T04:18:24.069Z"",""2018-06-21T04:18:24.069Z"",0,51.50998,-0.1337,,,,,,,
ObjectId("5b32025a26f624628722ff4a"),false,false,false,ios,A7E95DD6-1EF3-4CD6-9279-C29AFBBA9063,VizonMaps/1 CFNetwork/901.1 Darwin/17.6.0,183.182.87.238,""2018-06-26T09:07:38.613Z"",""2018-06-26T09:07:38.613Z"",0,,,,,,,,,
ObjectId("5b320eb8d48ec465d8b68767"),false,false,false,ios,BA6F830F-9B51-46DA-A8B5-2F893AA65F9F,VizonMaps/1 CFNetwork/901.1 Darwin/17.6.0,183.182.87.238,""2018-06-26T10:00:24.991Z"",""2018-06-26T10:00:24.991Z"",0,,,,,,,,,
ObjectId("5b331f1f6c943d7035996bd7"),false,false,false,ios,6ED4ACCE-773B-4F2A-9EE0-4227EE7C844F,PostmanRuntime/7.1.5,103.83.80.2,""2018-06-27T05:22:39.476Z"",""2018-06-27T05:22:39.476Z"",0,,,patel.ritesh@fxbytes.com,ritesh,Patel,,,,
ObjectId("5b3326906bf7e371b6c919a5"),false,false,false,ios,1241DCE7-CA4E-402B-AA39-7A11E7986B92,VizonMaps/1 CFNetwork/894 Darwin/17.4.0,183.182.87.238,""2018-06-27T05:54:24.808Z"",""2018-06-27T05:54:24.808Z"",0,,,,,,,,,
ObjectId("5b3359f613e00274b19fad58"),false,false,false,android,b1bf13cfd86df29a,okhttp/3.9.1,183.182.87.238,""2018-06-27T09:33:42.130Z"",""2018-06-27T09:33:42.130Z"",0,,,ch@ch.com,ch,ch,,,,
ObjectId("5b3360c113e00274b19fad59"),false,false,false,ios,332ED68F-70F5-428E-814C-6FDA0226742F,VizonMaps/1 CFNetwork/811.5.4 Darwin/16.6.0,183.182.87.238,""2018-06-27T10:02:41.061Z"",""2018-06-27T10:02:41.061Z"",0,,,,,,,,,
ObjectId("5b33962169901077b903f493"),false,false,false,android,19cd451caa0907da,okhttp/3.9.1,183.182.87.238,""2018-06-27T13:50:25.009Z"",""2018-06-27T13:50:25.009Z"",0,,,,dff,ghg,,fhh,f6c277c722041b79b1699005cda843c6,
ObjectId("5b34691269901077b903f497"),false,false,false,android,c199e5d15a2bb727,okhttp/3.9.1,183.182.87.238,""2018-06-28T04:50:26.966Z"",""2018-06-28T04:50:26.966Z"",0,,,aaa@a.com,dr,df,,jhh,8db3aadefc80df88c101e3f6a93725bd,
ObjectId("5b34a6370a73d212390fb673"),false,false,false,ios,464D6FA9-2703-4EEC-A3B4-1C0DB656BE5B,VizonMaps/1 CFNetwork/897.15 Darwin/17.5.0,183.182.87.238,""2018-06-28T09:11:19.689Z"",""2018-06-28T09:11:19.689Z"",0,,,,,,,,,
ObjectId("5b34b3f00a73d212390fb679"),false,false,false,ios,F9DF072E-4554-48F0-89B6-2D0CEF20EE76,VizonMaps/1 CFNetwork/811.5.4 Darwin/16.6.0,183.182.87.238,""2018-06-28T10:09:52.564Z"",""2018-06-28T10:09:52.564Z"",0,,,,,,,,,
ObjectId("5b34bce476606117986685a5"),false,false,false,ios,0ADFC9C4-A3CF-4F1A-84CF-7AD62489144D,VizonMaps/1 CFNetwork/811.5.4 Darwin/16.6.0,183.182.87.238,""2018-06-28T10:48:04.671Z"",""2018-06-28T10:48:04.671Z"",0,,,,,,,,,
ObjectId("5b35bb7162a367218f65a3f7"),false,false,false,ios,309EC38F-3B75-4ED6-82DB-FE7B3C9BCF60,VizonMaps/1 CFNetwork/811.5.4 Darwin/16.6.0,183.182.87.238,""2018-06-29T04:54:09.592Z"",""2018-06-29T04:54:09.592Z"",0,,,,,,,,,
ObjectId("5b35bf7b62a367218f65a3fe"),false,false,false,ios,C85908F7-9C33-4FEE-911F-B8AD6F406A7B,VizonMaps/1 CFNetwork/901.1 Darwin/17.6.0,183.182.87.238,""2018-06-29T05:11:23.069Z"",""2018-06-29T05:11:23.069Z"",0,,,,,,,,,
ObjectId("5b35c02662a367218f65a3ff"),false,false,false,ios,F29ABCE1-2732-4D9D-BB1F-CE78D7C45A05,VizonMaps/1 CFNetwork/901.1 Darwin/17.6.0,183.182.87.238,""2018-06-29T05:14:14.147Z"",""2018-06-29T05:14:14.147Z"",0,,,,,,,,,
ObjectId("5b35c10a62a367218f65a401"),false,false,false,ios,68ED2C77-C58E-407C-952B-2BA4497E29FE,VizonMaps/1 CFNetwork/901.1 Darwin/17.6.0,183.182.87.238,""2018-06-29T05:18:02.112Z"",""2018-06-29T05:18:02.112Z"",0,,,,,,,,,
ObjectId("5b35c1ba62a367218f65a402"),false,false,false,ios,3897EFD3-4AC0-472A-89DC-C897196B78B6,VizonMaps/1 CFNetwork/901.1 Darwin/17.6.0,183.182.87.238,""2018-06-29T05:20:58.471Z"",""2018-06-29T05:20:58.471Z"",0,,,,,,,,,
ObjectId("5b35c3f962a367218f65a403"),false,false,false,ios,FCE551CE-7646-46D9-AB05-39832A02C432,VizonMaps/1 CFNetwork/901.1 Darwin/17.6.0,183.182.87.238,""2018-06-29T05:30:33.601Z"",""2018-06-29T05:30:33.601Z"",0,,,,,,,,,
ObjectId("5b35c47962a367218f65a405"),false,false,false,ios,CAFAC4DF-86C5-4369-AFE9-B90C06B7D010,VizonMaps/1 CFNetwork/901.1 Darwin/17.6.0,183.182.87.238,""2018-06-29T05:32:41.799Z"",""2018-06-29T05:32:41.799Z"",0,,,,,,,,,
ObjectId("5b35c4f362a367218f65a406"),false,false,false,ios,EB73AA5C-35A0-41BB-BE5B-E47F299E8EE5,VizonMaps/1 CFNetwork/811.5.4 Darwin/16.6.0,183.182.87.238,""2018-06-29T05:34:43.484Z"",""2018-06-29T05:34:43.484Z"",0,,,,,,,,,
ObjectId("5b35c7a662a367218f65a408"),false,false,false,ios,549748A0-863A-42CC-9796-6CAAAAB0B7A7,VizonMaps/1 CFNetwork/901.1 Darwin/17.6.0,183.182.87.238,""2018-06-29T05:46:14.292Z"",""2018-06-29T05:46:14.293Z"",0,,,,,,,,,
ObjectId("5b35c8fc62a367218f65a409"),false,false,false,ios,C8046CC8-A96F-4788-83ED-0E6C4E71BC3B,VizonMaps/1 CFNetwork/901.1 Darwin/17.6.0,183.182.87.238,""2018-06-29T05:51:56.766Z"",""2018-06-29T05:51:56.766Z"",0,,,,,,,,,
ObjectId("5b35c9c262a367218f65a40a"),false,false,false,ios,FE97C387-6B06-4368-AD80-B9F9FEB17EA6,VizonMaps/1 CFNetwork/889.9 Darwin/17.2.0,183.182.87.238,""2018-06-29T05:55:14.314Z"",""2018-06-29T05:55:14.314Z"",0,,,,,,,,,
ObjectId("5b35cdcf62a367218f65a40e"),false,false,false,ios,4C345066-BFB6-4618-B621-796CA89D8195,VizonMaps/1 CFNetwork/897.15 Darwin/17.5.0,183.182.87.238,""2018-06-29T06:12:31.202Z"",""2018-06-29T06:12:31.202Z"",0,,,,,,,,,
ObjectId("5b35f46e62a367218f65a42a"),false,false,false,ios,8374C4AD-AF48-4E2B-887C-06086818B041,VizonMaps/1 CFNetwork/811.5.4 Darwin/16.6.0,183.182.87.238,""2018-06-29T08:57:18.142Z"",""2018-06-29T08:57:18.142Z"",0,,,,,,,,,
ObjectId("5b36135a62a367218f65a44f"),false,false,false,android,9ba8845f15b8eafb,okhttp/3.9.1,183.182.87.238,""2018-06-29T11:09:14.905Z"",""2018-06-29T11:09:14.905Z"",0,,,,,,,,,
ObjectId("5b39e9c762a367218f65a48c"),false,false,false,android,724ab083de901660,okhttp/3.9.1,183.182.87.238,""2018-07-02T09:00:55.015Z"",""2018-07-02T09:00:55.015Z"",0,,,,,,,,,
ObjectId("5b3a031562a367218f65a4a6"),false,false,false,android,6f4f6de63f236f24,okhttp/3.9.1,223.184.13.46,""2018-07-02T10:48:53.689Z"",""2018-07-02T10:48:53.689Z"",0,,,,,,,,,
ObjectId("5b3b0a5f62a367218f65a4d5"),false,false,false,ios,0480AE51-EDDF-4CE9-BB14-258484188558,VizonMaps/1 CFNetwork/894 Darwin/17.4.0,183.182.87.238,""2018-07-03T05:32:15.697Z"",""2018-07-03T05:32:15.697Z"",0,,,,,,,,,
ObjectId("5b3b6ee662a367218f65a4dc"),false,false,false,ios,EB671B6C-3CDD-41AB-BBD9-75581051E12D,VizonMaps/1 CFNetwork/889.9 Darwin/17.2.0,183.182.87.238,""2018-07-03T12:41:10.854Z"",""2018-07-03T12:41:10.854Z"",0,,,,,,,,,
ObjectId("5b3c57f00b00420259cebe40"),false,false,false,android,c7735429e7c5766,okhttp/3.9.1,157.34.1.93,""2018-07-04T05:15:28.029Z"",""2018-07-04T05:15:28.030Z"",0,,,,,,,,,
ObjectId("5b3c58cbf5d3db02e8ad61b4"),false,false,false,android,99f9af1b89c4adb7,okhttp/3.9.1,183.182.87.238,""2018-07-04T05:19:07.995Z"",""2018-07-04T05:19:07.996Z"",0,,,,,,,,,
ObjectId("5b3c5ef2c177ee0633ac2e20"),false,false,false,ios,1974F075-070C-40C0-B58E-E71A3A09C151,VizonMaps/1 CFNetwork/889.9 Darwin/17.2.0,183.182.87.238,""2018-07-04T05:45:22.278Z"",""2018-07-04T05:45:22.278Z"",0,,,,,,,,,
ObjectId("5b3c6832ea989e08d8bcdbfd"),false,false,false,ios,test545454,PostmanRuntime/7.1.1,103.83.80.2,""2018-07-04T06:24:50.103Z"",""2018-07-04T06:24:50.103Z"",0,,,,,,,,,
ObjectId("5b3c6a2bea989e08d8bcdc19"),false,false,false,ios,E5FC581A-5B07-4A0D-B932-11B165A4D666,VizonMaps/1 CFNetwork/889.9 Darwin/17.2.0,183.182.87.238,""2018-07-04T06:33:15.396Z"",""2018-07-04T06:33:15.396Z"",0,,,,,,,,,
ObjectId("5b3c7258f26bdc0bc3e691dd"),false,false,false,ios,17B30DB1-321D-462B-9912-707E8C8FFEF9,PostmanRuntime/7.1.5,103.83.80.2,""2018-07-04T07:08:08.332Z"",""2018-07-04T07:08:08.332Z"",0,,,asawara.kamal+1@fxbytes.com,kamal,asawara,,,,
ObjectId("5b3c7af8f26bdc0bc3e691e2"),false,false,false,ios,9A40344A-AE2B-426B-B8B8-463B8E9BE33A,VizonMaps/1 CFNetwork/889.9 Darwin/17.2.0,183.182.87.238,""2018-07-04T07:44:56.656Z"",""2018-07-04T07:44:56.656Z"",0,,,,,,,,,
ObjectId("5b3c884cf26bdc0bc3e691e3"),false,false,false,android,49498d9576fad102,okhttp/3.9.1,223.184.227.239,""2018-07-04T08:41:48.776Z"",""2018-07-04T08:41:48.776Z"",0,,,,,,,,,
ObjectId("5b3c88c4f26bdc0bc3e691e4"),false,false,false,ios,F9A1DBA6-5B14-49F7-839A-8B29E8AFB58A,VizonMaps/1 CFNetwork/897.15 Darwin/17.5.0,106.79.239.248,""2018-07-04T08:43:48.047Z"",""2018-07-04T08:43:48.047Z"",0,,,,,,,,,
ObjectId("5b3c8a5d3951d10d41b7da9f"),false,false,false,android,d1581a27bf9bed23,okhttp/3.9.1,27.57.244.136,""2018-07-04T08:50:37.516Z"",""2018-07-04T08:50:37.516Z"",0,,,,,,,,,
ObjectId("5b3c8dc73951d10d41b7daa1"),false,false,false,android,9c12f0aa4607c928,okhttp/3.9.1,47.247.214.202,""2018-07-04T09:05:11.317Z"",""2018-07-04T09:05:11.317Z"",0,,,,,,,,,
ObjectId("5b3c91973951d10d41b7daa2"),false,false,false,android,c48f67b2d1843688,okhttp/3.9.1,157.34.20.87,""2018-07-04T09:21:27.821Z"",""2018-07-04T09:21:27.821Z"",0,,,,,,,,,
ObjectId("5b3c9d1e3951d10d41b7daa4"),false,false,false,ios,C47D9AB2-8971-49B0-A100-D81BD09789B1,VizonMaps/1 CFNetwork/901.1 Darwin/17.6.0,27.97.150.255,""2018-07-04T10:10:38.747Z"",""2018-07-04T10:10:38.747Z"",0,,,,,,,,,
ObjectId("5b3da74c22514e20a974ee98"),false,false,false,ios,84086B04-7E41-4BF0-95EF-8473C7AF2926,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36,183.182.87.238,""2018-07-05T05:06:20.211Z"",""2018-07-05T05:06:20.211Z"",0,,,,ritesh,patel,,test,,
ObjectId("5b3dd43e22514e20a974eeb1"),false,false,false,android,1989847ac53ed745,okhttp/3.9.1,47.247.222.154,""2018-07-05T08:18:06.905Z"",""2018-07-05T08:18:06.905Z"",0,,,,,,,,,
ObjectId("5b3dd73e22514e20a974eeb6"),false,false,false,android,b88e0a83fcf0170e,okhttp/3.9.1,47.247.87.100,""2018-07-05T08:30:54.353Z"",""2018-07-05T08:30:54.353Z"",0,,,,,,,,,
ObjectId("5b3dd79422514e20a974eeb7"),false,false,false,android,0219f53a4c97ad4d,okhttp/3.9.1,27.56.246.229,""2018-07-05T08:32:20.506Z"",""2018-07-05T08:32:20.506Z"",0,,,,,,,,,
ObjectId("5b3dd8e222514e20a974eeb8"),false,false,false,android,42bda8f013777d28,okhttp/3.9.1,27.97.158.152,""2018-07-05T08:37:54.283Z"",""2018-07-05T08:37:54.283Z"",0,,,,,,,,,
